time_s,"pressure_(0,0)_Pa","pressure_(1,0)_Pa","pressure_(2,0)_Pa","pressure_(5,0)_Pa","pressure_(10,0)_Pa",pressure_gemessen_BH10_Pa
2500.0,0.0,0.0,0.0,0.0,0.0,23290.618367662
2510.0,3941.083048863952,813.8529366898292,131.6698842105322,1.7659522060753383,5.088657738218608e-05,17467.96377574511
2520.0,5138.102862208413,1470.403352780645,353.46217398830714,9.68941718517108,0.0012775927238617,11645.309183829999
2530.0,5741.088288387336,1919.9210777089163,585.0422594141314,26.69761032973989,0.0121302786123885,11645.309183829999
2540.0,6137.774823900271,2250.98247802797,796.5199255627783,52.71749654289256,0.0643823466123421,5822.654591914888
2550.0,6434.349931690843,2511.6305386457443,983.7286856833964,86.05682284960662,0.2298809987566406,5822.654591914888
2560.0,6671.828425299321,2726.4407462128115,1149.242721509275,124.69071174976304,0.6201853371946744,5240.389132718097
2570.0,6870.13211977871,2909.1259674006205,1296.623983670476,166.8406565626187,1.367598000917131,5822.654591914888
2580.0,7040.472601530327,3068.046812490856,1429.0339457479135,211.1236651112756,2.600988291084817,-10480.778265451001
2590.0,7189.811977401865,3208.671331470676,1549.026131384776,256.5261048522917,4.427696804244797,-11645.309183830443
2600.0,7322.7835023367825,3334.773047250844,1658.617662090483,302.3287745378194,6.924815578559285,-11645.309183830443
2610.0,7442.632259105699,3449.066860416075,1759.4026292617357,348.0319190748441,10.138099139980026,-11645.309183830443
2620.0,7551.72209112717,3553.5717775001767,1852.6513390776684,393.2942723853736,14.085409681918389,-11645.309183830443
2630.0,7651.829430229781,3649.830250472254,1939.3871381239471,437.8873410107862,18.76209709135383,-11645.309183830443
2640.0,7744.323599910705,3739.047263877947,2020.443811382388,481.66232902376737,24.146662417063844,-11645.309183830443
2650.0,7830.282642400217,3822.182062071161,2096.5081743768924,524.5265863375528,30.20585453254748,-5822.654591915555
2660.0,1364472.6339857618,389447.03699245706,107327.06966980472,6533.131367412092,76.48078528974894,1159872.794709608
2670.0,1699309.5400379198,619946.2429792281,226705.912545512,21308.96905421156,272.80624376012435,1647228.984052852
2680.0,1866254.1275456303,762753.4742331937,326492.61821935774,42694.16551019059,824.6658275251639,1726999.3519620856
2690.0,1977414.8089011812,864201.8582232873,407153.10713474586,67569.69135112285,1953.569505982964,31151.202066744667
2700.0,2061045.083929716,942643.401218329,473632.8663812563,93697.20735414192,3818.617400950897,628846.6959269856
2710.0,2128161.592607899,1006535.793524654,529803.5519191426,119787.60062086437,6485.723145024658,1483030.1245608348
2720.0,2184234.791014381,1060412.31453315,578296.9054916354,145178.11357141862,9939.743738384564,1572116.7398171348
2730.0,2232393.6164306905,1106978.5166377304,620900.8137257217,169563.22927708353,14113.041701440608,1595989.6236439939
2740.0,2274599.6295946203,1147976.9118439197,658862.949452069,192829.4568467806,18912.23458483369,1612875.3219605424
2750.0,2312164.733589496,1184594.7889216966,693080.9086395483,214963.02034841332,24236.912582830264,1612875.3219605424
2760.0,2346009.8572899704,1217676.999785149,724218.9412302852,235999.92362086847,29990.584040064696,1619280.2420116507
2770.0,2376806.3596478347,1247845.842496153,752781.0224837334,255999.23756321185,36086.05552240359,1624520.6311443725
2780.0,2405058.762517897,1275572.782154077,779157.9162444966,275028.9120168778,42447.38671285165,1625685.162062752
2790.0,2431155.8156855693,1301223.4811952976,803658.3817043249,293158.3429792424,49009.95683786782,1624520.6311443725
2800.0,2455403.4125521667,1325087.218727501,826530.4366302976,310454.6004150987,55719.605653367325,2326150.509470191
2810.0,2947177.415865439,1507561.4491583186,908357.4265436688,339886.5456214273,66282.46872140936,2815544.6279206695
2820.0,3080023.1833354966,1614928.3027007314,984518.7231808676,372292.7442949576,77183.75264528103,2918314.4814679595
2830.0,3159238.5170529257,1688590.805142802,1047106.5892896788,405467.7751721786,88513.08619698964,2957908.532692979
2840.0,3219421.590158962,1746446.188751066,1099569.0217608088,437854.89290088,100294.38413568406,2981199.1510606413
2850.0,3269355.764282814,1795055.4696596465,1144935.4336261572,468770.4555805634,112473.46390419516,2992844.4602444717
2860.0,3312629.897455367,1837449.1268152967,1185117.2804032976,498019.4112265549,124950.61428587636,2998667.114836387
2870.0,3351114.96138354,1875293.6565915672,1221329.437544115,525622.9845298103,137614.77006741782,2998667.114836387
2880.0,3385933.4056522422,1909618.1896799328,1254384.1175384608,551684.958294965,150363.92929448214,3010312.4240202173
2890.0,3417823.0336386813,1941111.4011967075,1284852.1674958123,576333.1266264108,163113.32383422583,3016135.0786121334
2900.0,3447300.994346343,1970261.835233787,1313152.0914357295,599695.1989855354,175796.54544327903,3016135.0786121334
2910.0,3474747.407590511,1997431.661192107,1339601.4732732652,621889.6992378959,188363.57620641936,3027780.3877959643
2920.0,3500452.0242449357,2022898.6971669989,1364448.187593042,643023.2489523254,200777.88926793763,3023704.5295816245
2930.0,3524642.123523336,2046881.9206649524,1387890.22220514,663190.4890298696,213013.59820931527,3027780.3877959643
2940.0,3547500.133888534,2069557.7690804023,1410088.7796886074,682475.0121883819,225053.00952882093,3297951.5608608346
2950.0,3569175.2724015783,2091071.004233959,1431177.2414076712,700950.6030747627,236884.64862871225,3464479.4821896115
